id                                                             owned_by        
--                                                             --------        
alicode-intl/qwen3.5-plus                                      alicode-intl    
alicode-intl/kimi-k2.5                                         alicode-intl    
alicode-intl/glm-5                                             alicode-intl    
alicode-intl/MiniMax-M2.5                                      alicode-intl    
alicode-intl/qwen3-coder-next                                  alicode-intl    
alicode-intl/qwen3-coder-plus                                  alicode-intl    
alicode-intl/glm-4.7                                           alicode-intl    
alicode/qwen3.5-plus                                           alicode         
alicode/kimi-k2.5                                              alicode         
alicode/glm-5                                                  alicode         
alicode/MiniMax-M2.5                                           alicode         
alicode/qwen3-max-2026-01-23                                   alicode         
alicode/qwen3-coder-next                                       alicode         
alicode/qwen3-coder-plus                                       alicode         
alicode/glm-4.7                                                alicode         
anthropic/claude-sonnet-4-20250514                             anthropic       
anthropic/claude-opus-4-20250514                               anthropic       
anthropic/claude-3-5-sonnet-20241022                           anthropic       
ag/gemini-3.6-flash-high                                       ag              
ag/gemini-3.6-flash-medium                                     ag              
ag/gemini-3.6-flash-low                                        ag              
ag/gemini-3.5-flash-high                                       ag              
ag/gemini-3-flash-agent                                        ag              
ag/gemini-3.5-flash-low                                        ag              
ag/gemini-3.5-flash-extra-low                                  ag              
ag/gemini-pro-agent                                            ag              
ag/gemini-3.1-pro-low                                          ag              
ag/claude-sonnet-4-6                                           ag              
ag/claude-opus-4-6-thinking                                    ag              
ag/gpt-oss-120b-medium                                         ag              
ag/gemini-3-flash                                              ag              
blackbox/claude-fable-5                                        blackbox        
blackbox/claude-opus-4.8                                       blackbox        
blackbox/claude-sonnet-4.6                                     blackbox        
blackbox/gpt-5.5                                               blackbox        
blackbox/gpt-5.4-pro                                           blackbox        
blackbox/gpt-5.4                                               blackbox        
blackbox/gpt-5.3-codex                                         blackbox        
blackbox/gpt-5.4-nano                                          blackbox        
blackbox/deepseek-v4-flash                                     blackbox        
blackbox/grok-4.3                                              blackbox        
byteplus/seed-2-0-pro-260328                                   byteplus        
byteplus/seed-2-0-code-preview-260328                          byteplus        
byteplus/seed-2-0-mini-260215                                  byteplus        
byteplus/seed-2-0-lite-260228                                  byteplus        
byteplus/kimi-k2-thinking-251104                               byteplus        
byteplus/glm-4-7-251222                                        byteplus        
byteplus/gpt-oss-120b-250805                                   byteplus        
cerebras/gpt-oss-120b                                          cerebras        
cerebras/zai-glm-4.7                                           cerebras        
cerebras/llama-3.3-70b                                         cerebras        
cerebras/llama-4-scout-17b-16e-instruct                        cerebras        
cerebras/qwen-3-235b-a22b-instruct-2507                        cerebras        
cerebras/qwen-3-32b                                            cerebras        
cc/claude-opus-5                                               cc              
cc/claude-fable-5                                              cc              
cc/claude-sonnet-5                                             cc              
cc/claude-haiku-4-5-20251001                                   cc              
cl/anthropic/claude-opus-4.7                                   cl              
cl/anthropic/claude-sonnet-4.6                                 cl              
cl/anthropic/claude-opus-4.6                                   cl              
cl/openai/gpt-5.3-codex                                        cl              
cl/openai/gpt-5.4                                              cl              
cl/google/gemini-3.1-pro-preview                               cl              
cl/google/gemini-3.1-flash-lite-preview                        cl              
cl/kwaipilot/kat-coder-pro                                     cl              
clinepass/cline-pass/glm-5.2                                   clinepass       
clinepass/cline-pass/kimi-k2.7-code                            clinepass       
clinepass/cline-pass/kimi-k2.6                                 clinepass       
clinepass/cline-pass/deepseek-v4-pro                           clinepass       
clinepass/cline-pass/deepseek-v4-flash                         clinepass       
clinepass/cline-pass/mimo-v2.5                                 clinepass       
clinepass/cline-pass/mimo-v2.5-pro                             clinepass       
clinepass/cline-pass/minimax-m3                                clinepass       
clinepass/cline-pass/qwen3.7-max                               clinepass       
clinepass/cline-pass/qwen3.7-plus                              clinepass       
cloudflare-ai/@cf/meta/llama-3.2-1b-instruct                   cloudflare-ai   
cloudflare-ai/@cf/meta/llama-3.2-3b-instruct                   cloudflare-ai   
cloudflare-ai/@cf/meta/llama-3.1-8b-instruct-fp8-fast          cloudflare-ai   
cloudflare-ai/@cf/meta/llama-3.1-8b-instruct-awq               cloudflare-ai   
cloudflare-ai/@cf/mistralai/mistral-small-3.1-24b-instruct     cloudflare-ai   
cloudflare-ai/@cf/meta/llama-3.1-70b-instruct-fp8-fast         cloudflare-ai   
cloudflare-ai/@cf/meta/llama-3.3-70b-instruct-fp8-fast         cloudflare-ai   
cloudflare-ai/@cf/deepseek-ai/deepseek-r1-distill-qwen-32b     cloudflare-ai   
cloudflare-ai/@cf/moonshotai/kimi-k2.5                         cloudflare-ai   
cloudflare-ai/@cf/moonshotai/kimi-k2.6                         cloudflare-ai   
cloudflare-ai/@cf/zai-org/glm-4.7-flash                        cloudflare-ai   
cloudflare-ai/@cf/qwen/qwq-32b                                 cloudflare-ai   
cloudflare-ai/@cf/qwen/qwen2.5-coder-32b-instruct              cloudflare-ai   
cbcn/glm-5.2                                                   cbcn            
cbcn/glm-5.1                                                   cbcn            
cbcn/glm-5.0                                                   cbcn            
cbcn/glm-5.0-turbo                                             cbcn            
cbcn/glm-5v-turbo                                              cbcn            
cbcn/glm-4.7                                                   cbcn            
cbcn/minimax-m3                                                cbcn            
cbcn/minimax-m2.7                                              cbcn            
cbcn/kimi-k2.7                                                 cbcn            
cbcn/kimi-k2.6                                                 cbcn            
cbcn/kimi-k2.5                                                 cbcn            
cbcn/hy3-preview                                               cbcn            
cbcn/deepseek-v4-pro                                           cbcn            
cbcn/deepseek-v4-flash                                         cbcn            
cbcn/deepseek-v3-2-volc                                        cbcn            
cx/gpt-5.6-sol                                                 cx              
cx/gpt-5.6-sol-review                                          cx              
cx/gpt-5.6-terra                                               cx              
cx/gpt-5.6-terra-review                                        cx              
cx/gpt-5.6-luna                                                cx              
cx/gpt-5.6-luna-review                                         cx              
cx/gpt-5.5                                                     cx              
cx/gpt-5.5-review                                              cx              
cx/gpt-5.4                                                     cx              
cx/gpt-5.4-review                                              cx              
cx/gpt-5.4-mini                                                cx              
cx/gpt-5.4-mini-review                                         cx              
cx/gpt-5.3-codex-spark                                         cx              
cx/gpt-5.3-codex-spark-review                                  cx              
cohere/command-r-plus-08-2024                                  cohere          
cohere/command-r-08-2024                                       cohere          
cohere/command-a-03-2025                                       cohere          
commandcode/deepseek/deepseek-v4-pro                           commandcode     
commandcode/deepseek/deepseek-v4-flash                         commandcode     
commandcode/moonshotai/Kimi-K2.6                               commandcode     
commandcode/moonshotai/Kimi-K2.5                               commandcode     
commandcode/zai-org/GLM-5.1                                    commandcode     
commandcode/zai-org/GLM-5                                      commandcode     
commandcode/MiniMaxAI/MiniMax-M2.7                             commandcode     
commandcode/MiniMaxAI/MiniMax-M2.5                             commandcode     
commandcode/Qwen/Qwen3.6-Max-Preview                           commandcode     
commandcode/Qwen/Qwen3.6-Plus                                  commandcode     
commandcode/stepfun/Step-3.5-Flash                             commandcode     
cu/default                                                     cu              
cu/claude-4.5-opus-high-thinking                               cu              
cu/claude-4.5-opus-high                                        cu              
cu/claude-4.5-sonnet-thinking                                  cu              
cu/claude-4.5-sonnet                                           cu              
cu/claude-4.5-haiku                                            cu              
cu/claude-4.5-opus                                             cu              
cu/gpt-5.2-codex                                               cu              
cu/claude-4.6-opus-max                                         cu              
cu/claude-4.6-sonnet-medium-thinking                           cu              
cu/kimi-k2.5                                                   cu              
cu/gemini-3-flash-preview                                      cu              
cu/gpt-5.2                                                     cu              
cu/gpt-5.3-codex                                               cu              
deepseek/deepseek-v4-pro                                       deepseek        
deepseek/deepseek-v4-pro-max                                   deepseek        
deepseek/deepseek-v4-pro-none                                  deepseek        
deepseek/deepseek-v4-flash                                     deepseek        
deepseek/deepseek-chat                                         deepseek        
deepseek/deepseek-reasoner                                     deepseek        
featherless/deepseek-ai/DeepSeek-V4-Pro                        featherless     
featherless/deepseek-ai/DeepSeek-V4-Flash                      featherless     
featherless/zai-org/GLM-5.2                                    featherless     
featherless/zai-org/GLM-5.1                                    featherless     
featherless/moonshotai/Kimi-K2.7-Code                          featherless     
featherless/moonshotai/Kimi-K2.6                               featherless     
featherless/moonshotai/Kimi-K2.5                               featherless     
fireworks/accounts/fireworks/models/deepseek-v3p1              fireworks       
fireworks/accounts/fireworks/models/llama-v3p3-70b-instruct    fireworks       
fireworks/accounts/fireworks/models/qwen3-235b-a22b            fireworks       
gc/gemini-3.1-pro-preview                                      gc              
gc/gemini-3-pro-preview                                        gc              
gc/gemini-3-flash-preview                                      gc              
gc/gemini-3.1-flash-lite-preview                               gc              
gc/gemini-2.5-pro                                              gc              
gc/gemini-2.5-flash                                            gc              
gc/gemini-2.5-flash-lite                                       gc              
gemini/gemini-3.6-flash                                        gemini          
gemini/gemini-3.5-flash-lite                                   gemini          
gemini/gemini-3.1-pro-preview                                  gemini          
gemini/gemini-3.1-flash-lite-preview                           gemini          
gemini/gemini-3-flash-preview                                  gemini          
gemini/gemini-2.5-pro                                          gemini          
gemini/gemini-2.5-flash                                        gemini          
gemini/gemini-2.5-flash-lite                                   gemini          
gemini/gemma-4-31b-it                                          gemini          
gh/gpt-5.2                                                     gh              
gh/gpt-5.2-codex                                               gh              
gh/gpt-5.3-codex                                               gh              
gh/gpt-5.4                                                     gh              
gh/gpt-5.4-mini                                                gh              
gh/claude-haiku-4.5                                            gh              
gh/claude-opus-4.5                                             gh              
gh/claude-sonnet-4.5                                           gh              
gh/claude-sonnet-4.6                                           gh              
gh/claude-opus-4.6                                             gh              
gh/claude-opus-4.7                                             gh              
gh/gemini-2.5-pro                                              gh              
gh/gemini-3-flash-preview                                      gh              
gh/gemini-3.1-pro-preview                                      gh              
gh/grok-code-fast-1                                            gh              
gh/oswe-vscode-prime                                           gh              
gh/goldeneye-free-auto                                         gh              
glm-cn/glm-5.2                                                 glm-cn          
glm-cn/glm-5.1                                                 glm-cn          
glm-cn/glm-5                                                   glm-cn          
glm-cn/glm-4.7                                                 glm-cn          
glm-cn/glm-4.6                                                 glm-cn          
glm-cn/glm-4.5-air                                             glm-cn          
glm/glm-5.2                                                    glm             
glm/glm-5.1                                                    glm             
glm/glm-5                                                      glm             
glm/glm-4.7                                                    glm             
glm/glm-4.6v                                                   glm             
gcli/grok-build                                                gcli            
gcli/grok-4.5                                                  gcli            
gcli/grok-4.5-high                                             gcli            
gcli/grok-4.5-medium                                           gcli            
gcli/grok-4.5-low                                              gcli            
grok-web/grok-3                                                grok-web        
grok-web/grok-3-mini                                           grok-web        
grok-web/grok-3-thinking                                       grok-web        
grok-web/grok-4                                                grok-web        
grok-web/grok-4-mini                                           grok-web        
grok-web/grok-4-thinking                                       grok-web        
grok-web/grok-4-heavy                                          grok-web        
grok-web/grok-4.1-mini                                         grok-web        
grok-web/grok-4.1-fast                                         grok-web        
grok-web/grok-4.1-expert                                       grok-web        
grok-web/grok-4.1-thinking                                     grok-web        
grok-web/grok-4.2                                              grok-web        
groq/llama-3.3-70b-versatile                                   groq            
groq/meta-llama/llama-4-maverick-17b-128e-instruct             groq            
groq/qwen/qwen3-32b                                            groq            
groq/openai/gpt-oss-120b                                       groq            
hyperbolic/Qwen/QwQ-32B                                        hyperbolic      
hyperbolic/deepseek-ai/DeepSeek-R1                             hyperbolic      
hyperbolic/deepseek-ai/DeepSeek-V3                             hyperbolic      
hyperbolic/meta-llama/Llama-3.3-70B-Instruct                   hyperbolic      
hyperbolic/meta-llama/Llama-3.2-3B-Instruct                    hyperbolic      
hyperbolic/Qwen/Qwen2.5-72B-Instruct                           hyperbolic      
hyperbolic/Qwen/Qwen2.5-Coder-32B-Instruct                     hyperbolic      
hyperbolic/NousResearch/Hermes-3-Llama-3.1-70B                 hyperbolic      
if/qwen3-coder-plus                                            if              
if/qwen3-max                                                   if              
if/qwen3-vl-plus                                               if              
if/qwen3-max-preview                                           if              
if/qwen3-235b                                                  if              
if/qwen3-235b-a22b-instruct                                    if              
if/qwen3-235b-a22b-thinking-2507                               if              
if/qwen3-32b                                                   if              
if/kimi-k2                                                     if              
if/deepseek-v3.2                                               if              
if/deepseek-v3.1                                               if              
if/deepseek-v3                                                 if              
if/deepseek-r1                                                 if              
if/glm-4.7                                                     if              
if/iflow-rome-30ba3b                                           if              
kc/anthropic/claude-sonnet-4-20250514                          kc              
kc/anthropic/claude-opus-4-20250514                            kc              
kc/google/gemini-2.5-pro                                       kc              
kc/google/gemini-2.5-flash                                     kc              
kc/openai/gpt-4.1                                              kc              
kc/openai/o3                                                   kc              
kc/deepseek/deepseek-chat                                      kc              
kc/deepseek/deepseek-reasoner                                  kc              
kimchi/minimax-m3                                              kimchi          
kimchi/kimi-k2.7                                               kimchi          
kimchi/kimi-k2.6                                               kimchi          
kimchi/kimi-k2.5                                               kimchi          
kimchi/nemotron-3-ultra-fp4                                    kimchi          
kimchi/minimax-m2.7                                            kimchi          
kimchi/claude-opus-4-6                                         kimchi          
kimchi/claude-sonnet-4-6                                       kimchi          
kimi/kimi-k3                                                   kimi            
kimi/k3                                                        kimi            
kimi/kimi-for-coding                                           kimi            
kimi/kimi-for-coding-highspeed                                 kimi            
kimi/kimi-k2.7-code                                            kimi            
kimi/kimi-k2.7-code-highspeed                                  kimi            
kimi/kimi-k2.6                                                 kimi            
kimi/kimi-k2.5                                                 kimi            
kimi/kimi-k2.5-thinking                                        kimi            
kimi/kimi-latest                                               kimi            
kr/claude-opus-5                                               kr              
kr/claude-opus-5-thinking                                      kr              
kr/claude-opus-5-agentic                                       kr              
kr/claude-opus-5-thinking-agentic                              kr              
kr/claude-opus-4.8                                             kr              
kr/claude-opus-4.8-thinking                                    kr              
kr/claude-opus-4.8-agentic                                     kr              
kr/claude-opus-4.8-thinking-agentic                            kr              
kr/claude-opus-4.7                                             kr              
kr/claude-opus-4.7-thinking                                    kr              
kr/claude-opus-4.7-agentic                                     kr              
kr/claude-opus-4.7-thinking-agentic                            kr              
kr/claude-opus-4.5                                             kr              
kr/claude-opus-4.5-thinking                                    kr              
kr/claude-opus-4.5-agentic                                     kr              
kr/claude-opus-4.5-thinking-agentic                            kr              
kr/claude-sonnet-5                                             kr              
kr/claude-sonnet-4.5                                           kr              
kr/claude-haiku-4.5                                            kr              
kr/deepseek-3.2                                                kr              
kr/qwen3-coder-next                                            kr              
kr/glm-5                                                       kr              
kr/MiniMax-M2.5                                                kr              
kr/gpt-5.6-sol                                                 kr              
kr/gpt-5.6-terra                                               kr              
kr/gpt-5.6-luna                                                kr              
kr/claude-sonnet-5-thinking                                    kr              
kr/claude-sonnet-4.5-thinking                                  kr              
kr/claude-haiku-4.5-thinking                                   kr              
kr/gpt-5.6-sol-thinking                                        kr              
kr/gpt-5.6-terra-thinking                                      kr              
kr/gpt-5.6-luna-thinking                                       kr              
kr/claude-sonnet-5-agentic                                     kr              
kr/claude-sonnet-4.5-agentic                                   kr              
kr/claude-haiku-4.5-agentic                                    kr              
kr/gpt-5.6-sol-agentic                                         kr              
kr/gpt-5.6-terra-agentic                                       kr              
kr/gpt-5.6-luna-agentic                                        kr              
kr/claude-sonnet-5-thinking-agentic                            kr              
kr/claude-sonnet-4.5-thinking-agentic                          kr              
kr/claude-haiku-4.5-thinking-agentic                           kr              
kr/gpt-5.6-sol-thinking-agentic                                kr              
kr/gpt-5.6-terra-thinking-agentic                              kr              
kr/gpt-5.6-luna-thinking-agentic                               kr              
mmf/mimo-auto                                                  mmf             
minimax-cn/MiniMax-M3                                          minimax-cn      
minimax-cn/MiniMax-M2.7                                        minimax-cn      
minimax-cn/MiniMax-M2.5                                        minimax-cn      
minimax-cn/MiniMax-M2.1                                        minimax-cn      
minimax/MiniMax-M3                                             minimax         
minimax/MiniMax-M2.7                                           minimax         
minimax/MiniMax-M2.5                                           minimax         
minimax/MiniMax-M2.1                                           minimax         
mistral/mistral-large-latest                                   mistral         
mistral/codestral-latest                                       mistral         
mistral/mistral-medium-latest                                  mistral         
nebius/meta-llama/Llama-3.3-70B-Instruct                       nebius          
nvidia/minimaxai/minimax-m2.7                                  nvidia          
nvidia/minimaxai/minimax-m3                                    nvidia          
nvidia/z-ai/glm-5.2                                            nvidia          
nvidia/deepseek-ai/deepseek-v4-pro                             nvidia          
nvidia/deepseek-ai/deepseek-v4-flash                           nvidia          
nvidia/moonshotai/kimi-k2.6                                    nvidia          
nvidia/nvidia/nemotron-3-ultra-550b-a55b                       nvidia          
ollama/gpt-oss:120b                                            ollama          
ollama/kimi-k2.5                                               ollama          
ollama/glm-5                                                   ollama          
ollama/minimax-m2.5                                            ollama          
ollama/glm-4.7-flash                                           ollama          
ollama/qwen3.5                                                 ollama          
ollama/minimax-m3                                              ollama          
openai/gpt-5.4                                                 openai          
openai/gpt-5.4-mini                                            openai          
openai/gpt-5.4-nano                                            openai          
openai/gpt-5.2                                                 openai          
openai/gpt-5.1                                                 openai          
openai/gpt-5                                                   openai          
openai/gpt-5-mini                                              openai          
openai/gpt-5-nano                                              openai          
openai/gpt-4o                                                  openai          
openai/gpt-4o-mini                                             openai          
openai/gpt-4-turbo                                             openai          
openai/gpt-4.1                                                 openai          
openai/gpt-4.1-mini                                            openai          
openai/gpt-4.1-nano                                            openai          
openai/o3                                                      openai          
openai/o3-mini                                                 openai          
openai/o3-pro                                                  openai          
openai/o4-mini                                                 openai          
openai/o1                                                      openai          
openai/o1-mini                                                 openai          
opencode-go/glm-5.2                                            opencode-go     
opencode-go/glm-5.1                                            opencode-go     
opencode-go/kimi-k2.7-code                                     opencode-go     
opencode-go/kimi-k2.6                                          opencode-go     
opencode-go/deepseek-v4-pro                                    opencode-go     
opencode-go/deepseek-v4-flash                                  opencode-go     
opencode-go/mimo-v2.5                                          opencode-go     
opencode-go/mimo-v2.5-pro                                      opencode-go     
opencode-go/minimax-m3                                         opencode-go     
opencode-go/minimax-m2.7                                       opencode-go     
opencode-go/minimax-m2.5                                       opencode-go     
opencode-go/qwen3.7-max                                        opencode-go     
opencode-go/qwen3.7-plus                                       opencode-go     
opencode-go/qwen3.6-plus                                       opencode-go     
perplexity-web/pplx-auto                                       perplexity-web  
perplexity-web/pplx-sonar                                      perplexity-web  
perplexity-web/pplx-gpt                                        perplexity-web  
perplexity-web/pplx-gemini                                     perplexity-web  
perplexity-web/pplx-sonnet                                     perplexity-web  
perplexity-web/pplx-opus                                       perplexity-web  
perplexity-web/pplx-nemotron                                   perplexity-web  
perplexity/sonar-pro                                           perplexity      
perplexity/sonar                                               perplexity      
perplexity-agent/perplexity/sonar                              perplexity-agent
perplexity-agent/openai/gpt-5.5                                perplexity-agent
perplexity-agent/openai/gpt-5.4                                perplexity-agent
perplexity-agent/openai/gpt-5.4-mini                           perplexity-agent
perplexity-agent/anthropic/claude-sonnet-4-6                   perplexity-agent
perplexity-agent/anthropic/claude-opus-4-8                     perplexity-agent
perplexity-agent/google/gemini-3.1-pro-preview                 perplexity-agent
perplexity-agent/xai/grok-4.20-reasoning                       perplexity-agent
perplexity-agent/perplexity/glm-5.2                            perplexity-agent
perplexity-agent/perplexity/kimi-k2.7-code                     perplexity-agent
perplexity-agent/nvidia/nemotron-3-super-120b-a12b             perplexity-agent
qd/ultimate                                                    qd              
qd/auto                                                        qd              
qd/performance                                                 qd              
qd/efficient                                                   qd              
qd/qmodel_preview                                              qd              
qd/qmodel_latest                                               qd              
qd/qmodel                                                      qd              
qd/kmodel_latest                                               qd              
qd/kmodel                                                      qd              
qd/gm51model                                                   qd              
qd/dmodel                                                      qd              
qd/dfmodel                                                     qd              
qd/mmodel                                                      qd              
siliconflow/deepseek-ai/DeepSeek-V4-Pro                        siliconflow     
siliconflow/deepseek-ai/DeepSeek-V4-Flash                      siliconflow     
siliconflow/deepseek-ai/DeepSeek-V3.2                          siliconflow     
siliconflow/deepseek-ai/DeepSeek-V3.2-Exp                      siliconflow     
siliconflow/deepseek-ai/DeepSeek-V3.1                          siliconflow     
siliconflow/deepseek-ai/DeepSeek-V3.1-Terminus                 siliconflow     
siliconflow/deepseek-ai/DeepSeek-R1                            siliconflow     
siliconflow/Qwen/Qwen3.5-397B-A17B                             siliconflow     
siliconflow/Qwen/Qwen3.5-122B-A10B                             siliconflow     
siliconflow/zai-org/GLM-5.1                                    siliconflow     
siliconflow/zai-org/GLM-5                                      siliconflow     
siliconflow/moonshotai/Kimi-K2.6                               siliconflow     
siliconflow/moonshotai/Kimi-K2.5                               siliconflow     
siliconflow/openai/gpt-oss-120b                                siliconflow     
siliconflow/MiniMaxAI/MiniMax-M2.5                             siliconflow     
siliconflow/inclusionAI/Ling-flash-2.0                         siliconflow     
together/meta-llama/Llama-3.3-70B-Instruct-Turbo               together        
together/deepseek-ai/DeepSeek-R1                               together        
together/Qwen/Qwen3-235B-A22B                                  together        
together/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8     together        
venice/venice-uncensored-1-2                                   venice          
venice/zai-org-glm-5                                           venice          
venice/qwen3-235b-a22b-instruct-2507                           venice          
venice/qwen3-coder-480b-a35b-instruct-turbo                    venice          
venice/qwen3-vl-235b-a22b                                      venice          
venice/deepseek-v4-pro                                         venice          
venice/llama-3.3-70b                                           venice          
